"Task ID","Task","Type","Parent Task","Status","Priority","Module","Progress","Repo","Due","Acceptance Criteria","Evidence","Next Action"
"SUB-02","记录 AI 决策演示","Subtask","MOD-02","Not started","P1","AI","","Upper","","给定棋盘状态后能看到 AI 输出下一步","D:\Projects\gomoku_project","准备 2 到 3 个典型局面"
"SUB-03","GUI 显示视觉矩阵","Subtask","MOD-03","Not started","P1","GUI","","Upper","","GUI 能显示识别出的 15x15 board matrix","D:\Projects\gomoku_project","找到 GUI 棋盘状态入口"
"SUB-04","保留静态 benchmark 回归","Subtask","MOD-04","Done","P2","Perception","","Upper","","detector 调参后旧 benchmark 不退化","D:\Projects\gomoku_project\calibration_tools","每次改视觉后运行 benchmark"
"SUB-05","固定第 2 关现场参数","Subtask","MOD-05","In progress","P0","Perception","","Upper","2026-06-06","黑白棋框、中心点、坐标稳定显示","D:\Projects\gomoku_project\piece_center_detect.py","用 --tune 调参并按 p 打印"
"SUB-06","录制第 2 关演示证据","Subtask","MOD-05","Not started","P0","Evidence","","Upper","2026-06-06","有窗口截图、终端输出截图、演示视频","D:\Projects\gomoku_project\docs\level2_piece_center_detection.md","录 10 到 30 秒 USB 摄像头检测"
"SUB-07","改善白棋闪烁","Subtask","MOD-05","In progress","P0","Perception","","Upper","2026-06-06","白棋不再频繁消失/出现","D:\Projects\gomoku_project\piece_center_detect.py","调 stability、WhiteGain、WhiteMin"
"SUB-08","改善黑棋堆叠漏检","Subtask","MOD-05","In progress","P0","Perception","","Upper","2026-06-06","聚集黑棋能尽量分离成多颗","D:\Projects\gomoku_project\piece_center_detect.py","调 Hough 半径、BlobDist、RescueBlack"
"SUB-09","实现像素到棋盘坐标 demo","Subtask","MOD-06","Not started","P1","Board Mapping","","Upper","","输出 x,y 到 row,col","D:\Projects\gomoku_project","新建或扩展 piece_center_to_board.py"
"SUB-10","在画面上显示棋盘行列","Subtask","MOD-06","Not started","P1","Board Mapping","","Upper","","标签显示 Black(row,col) 和 White(row,col)","D:\Projects\gomoku_project","接入透视变换或四角插值"
"SUB-11","输出完整棋盘矩阵","Subtask","MOD-06","Not started","P1","Board Mapping","","Upper","","终端能打印 15x15 矩阵","D:\Projects\gomoku_project","根据所有棋子中心填充矩阵"
"SUB-12","补 AI 到机械臂 mock 证据","Subtask","MOD-07","Not started","P1","Host-Arm Adapter","","Both","","日志能看到 AI 输出和 place row col","D:\Projects\gomoku_project; D:\Projects\gomoku_arm_controller","运行 mock demo 并截图"
"SUB-13","明确真实硬件安全边界","Subtask","MOD-07","Not started","P1","Host-Arm Adapter","","Both","","文档说明 mock 不等于真实动作","D:\Projects\gomoku_project\docs","更新作品集说明"
"SUB-14","整理下位机 README","Subtask","MOD-08","Not started","P1","Arm Controller","","Arm","","README 说明 CLI、协议、pose table","D:\Projects\gomoku_arm_controller\README.md","修改 arm repo README"
"SUB-15","补下位机 CLI 测试截图","Subtask","MOD-08","Not started","P1","Arm Controller","","Arm","","有 place/home/stop/status 输出证据","D:\Projects\gomoku_arm_controller","在 arm repo 运行 CLI 示例"
"SUB-16","标定棋盘四角姿态","Subtask","MOD-09","Not started","P2","Calibration","","Arm","","有四角真实姿态数据","D:\Projects\gomoku_arm_controller\calibration","手工移动机械臂记录 PWM/姿态"
"SUB-17","建立真实 pose table","Subtask","MOD-09","Not started","P2","Calibration","","Arm","","有可追踪的 poses.real.json 或等价文件","D:\Projects\gomoku_arm_controller","写入并验证单点姿态"
"SUB-18","真实硬件单步验证","Subtask","MOD-10","Not started","P2","Full Loop","","Both","","status/home/stop/place 单步可运行","D:\Projects\gomoku_arm_controller","从 status 和 home 开始"
"SUB-19","加闭环安全确认","Subtask","MOD-10","Not started","P2","Full Loop","","Both","","执行动作前需要人工确认或置信度门槛","D:\Projects\gomoku_project","先在 mock 层实现安全开关"
"SUB-20","动作后视觉复核","Subtask","MOD-10","Not started","P2","Full Loop","","Both","","机械臂落子后摄像头能复核棋盘变化","D:\Projects\gomoku_project","等真实单步动作稳定后再接入"
